grip requested,grip performed,grip timing
1,1,-185.0
1,1,-37.0
1,1,-263.0
2,0,nan
1,1,21.0
2,2,163.0
1,1,-171.0
2,2,73.0
2,0,nan
1,1,85.0
1,1,-181.0
1,1,-175.0
2,2,-67.0
2,2,-61.0
1,1,81.0
1,1,-83.0
2,2,-247.0
2,2,-139.0
3,0,nan
2,2,-127.0
1,1,-121.0
3,0,nan
2,2,-1.0
1,1,-131.0
1,1,-17.0
2,2,131.0
2,2,-169.0
2,2,-27.0
1,1,-55.0
1,1,121.0
1,1,-37.0
1,1,-93.0
2,2,-155.0
1,1,-251.0
2,2,-109.0
1,1,67.0
2,2,-131.0
2,2,-23.0
1,1,85.0
1,1,57.0
2,2,131.0
1,1,-67.0
1,1,-129.0
