grip requested,grip performed,grip timing
1,1,-264.0
1,1,-150.0
1,1,-70.0
2,2,4.0
1,1,-58.0
2,2,-18.0
1,1,-46.0
2,0,nan
2,2,-101.0
1,1,-95.0
1,1,-123.0
1,1,-117.0
2,0,nan
2,2,-71.0
1,1,-65.0
1,1,-93.0
2,2,-121.0
2,2,-47.0
3,3,-75.0
2,2,-69.0
1,1,-97.0
3,3,-17.0
2,2,-78.0
1,1,-71.0
1,1,-25.0
2,2,-13.0
2,2,-75.0
2,2,67.0
1,1,5.0
1,1,147.0
1,1,-10.0
1,1,-66.0
2,2,-26.0
1,1,-20.0
2,2,20.0
1,1,-8.0
2,2,-104.0
2,2,-30.0
1,1,-91.0
1,1,-153.0
2,2,-11.0
1,1,-73.0
1,1,-135.0
